instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
Wilmington University,2,70731183,74725609,2205,790,1603,1841,9030,2707,9650
American University,2,393303000,553545000,5420,912,20679,8128,34456,3448,12241
Catholic University of America,2,180744542,267707109,5964,947,13401,7302,31740,1662,6768
Corcoran College of Art and Design,2,17149774,26908580,6133,713,14879,6576,27960,116,921
University of the District of Columbia,1,27224066,150459694,2293,563,436,1833,4750,683,5253
Gallaudet University,2,18991010,145237032,4741,10637,6239,5119,10850,323,1488
George Washington University,2,709757000,1122891000,6045,959,25813,6060,39962,7194,25061
Georgetown University,2,547424000,1059862000,7261,969,26217,5372,38616,5097,16520
Howard University,2,187303000,874836000,4937,1890,9186,10307,15270,1931,10573
Trinity Washington University,2,28974113,30557082,5072,4344,8316,7065,19360,299,2024
The Art Institute of Fort Lauderdale Inc,3,57022362,60380722,6036,2195,1175,9789,21375,591,3217
The Baptist College of Florida,2,3782301,8182574,2371,2246,1531,5230,8100,113,589
Barry University,2,173822192,158217648,5469,4171,13580,6571,26400,2495,8846
Bethune-Cookman University,2,46790583,69154932,5254,3366,6091,7476,12936,493,3637
Lynn University,2,56043961,62883933,5160,3260,16259,7773,28600,622,2224
Brevard Community College,1,30789405,81854932,4732,2539,2106,3798,2028,2553,17853
Broward College,1,79150021,204398086,5236,1161,1284,4179,1552,4903,37360
Carlos Albizu University-Miami Campus,2,14189339,15735400,6450,2283,500,5250,10980,310,1081
Central Florida Community College,1,18565511,48825703,4590,1800,1658,4834,1608,944,8289
Florida Christian College Inc,2,2456220,4506280,4540,3848,783,6128,7800,25,272
University of Central Florida,1,257108482,749281328,5587,2931,1823,5375,2910,12411,53401
Chipola College,1,4012161,16693168,4888,2582,4058,3913,2028,424,2341
Clearwater Christian College,2,8645202,11059357,4824,4602,4808,5187,14710,98,574
Daytona State College,1,38743923,110132053,4603,1920,2217,3864,2636,2258,17352
Eckerd College,2,70057466,75636804,6368,5141,14803,7063,31818,593,2520
Edison State College,1,36478408,69002132,5136,2039,2036,3346,2120,1926,16034
Edward Waters College,2,8243324,23341481,2686,1700,2312,3242,9990,89,831
Embry Riddle Aeronautical University-Daytona Beach,2,279806000,275405000,4676,4039,7477,10988,27480,4900,21880
Florida Agricultural and Mechanical University,1,78145750,263497915,6089,3858,6869,6011,2658,1942,12274
Florida Atlantic University,1,137616198,409125601,6289,2776,3269,5190,2126,5963,27637
Florida State College at Jacksonville,1,78100979,177213012,4928,2037,1777,4448,2028,4302,28877
Flagler College,2,37567422,58356585,5203,5407,3136,5922,13300,798,3197
Florida College,2,6287841,13598123,4720,3977,3671,5769,11400,155,467
Florida Hospital College of Health Sciences,2,20721687,29335972,3235,3137,2193,7273,8700,594,2662
Florida Institute of Technology,2,119386249,140817803,8679,5259,14972,7297,31020,1559,8227
Florida International University,1,214551106,642015013,5906,3055,2351,5753,2864,8953,39610
Florida Keys Community College,1,3963250,11337210,4876,2620,1531,7688,2028,162,1407
Florida Memorial University,2,28523834,44484098,4812,5801,5310,9762,11452,223,1923
Florida Career College,3,80195212,85494776,4120,2030,1187,8624,16520,377,3958
Florida Southern College,2,46258209,59342996,4908,5321,13669,9620,22270,515,2426
Florida State University,1,255108577,923608465,5758,3146,2353,6662,2658,10910,39785
University of Florida,1,383204000,2270132000,5705,3455,3358,4954,3070,15438,50691
Everest University-Pompano Beach,3,41468173,41468173,5190,610,1359,8435,13248,366,3155
Full Sail University,3,259962092,263121205,4257,2106,2620,11741,18126,3456,7516
Gulf Coast Community College,1,12188922,43433398,4343,1717,5623,3246,1751,799,6178
Key College,3,703758,716503,3973,1110,1000,7800,9885,13,104
Hillsborough Community College,1,55526691,126103260,5095,1780,1645,4355,2028,2615,26964
Hobe Sound Bible College,2,642276,3121807,5114,1660,1059,3929,4680,22,119
Indian River State College,1,28140421,98459534,4795,1754,2135,3751,2016,2023,17110
International Academy of Design and Technology-Tampa,3,28248403,30217655,6126,1773,1841,9860,18480,354,1460
AI Miami International University of Art and Design,3,88849369,93130437,6000,1505,1314,9871,30400,603,4177
ITT Technical Institute-Tampa,3,15046207,14992505,5382,1576,2489,11674,16848,213,837
Jacksonville University,2,65886748,76213057,4770,4206,11750,10658,25300,924,3554
Keiser University-Ft. Lauderdale,3,232074951,263042142,2363,483,956,4900,13376,3644,16882
Lake City Community College,1,5921909,22752728,4084,1890,1211,3241,1934,324,3187
Lake-Sumter Community College,1,7842718,23258479,5644,2763,1529,3238,2556,617,4752
State College of Florida-Manatee-Sarasota,1,27228964,61353765,6146,1053,1186,6760,2028,1459,11746
Miami Dade College,1,153632828,417473557,5596,1268,1855,1613,2028,9354,59120
University of Miami,2,535490996,2310037972,6345,6138,22374,8499,35540,4285,15629
Remington College-Tampa Campus,3,18573453,18602235,4031,2350,584,6846,15006,92,1094
Lincoln College of Technology,3,18036392,18375395,8487,2716,5557,14965,15472,355,2542
Gulf Coast College,3,3141000,3126000,1756,1163,4736,7352,11312,22,181
University of North Florida,1,73172908,213759243,5105,2646,3970,5440,2547,3981,16477
Nova Southeastern University,2,526308809,575778376,5257,4715,6962,7184,20550,7419,29153
Northwest Florida State College,1,12733069,45527229,1635,2452,4002,3007,1935,1473,7556
Everest University-North Orlando,3,24276466,24276466,5086,757,1353,8402,13356,88,1609
Palm Beach Atlantic University-West Palm Beach,2,60945174,64089246,3846,4596,10048,7935,22400,727,3260
Palm Beach State College,1,53879503,125043123,4540,1667,1547,3591,1980,3245,28017
Pasco-Hernando Community College,1,17253460,48073399,4513,1783,2007,4328,1876,1271,10036
Pensacola Junior College,1,20666018,65805217,4662,1984,1201,1803,1552,1779,11598
Polk State College,1,16751841,45618650,4553,1728,1713,1750,2028,1213,9437
ATI Career Training Center,3,53516907,54853768,2660,4015,1575,7540,12153,627,3161
Ringling College of Art and Design,2,39721437,55600790,5297,4450,5279,9242,27620,245,1318
Rollins College,2,88284000,121748000,6024,6669,22743,6361,36220,956,3294
Saint Leo University,2,114419497,124898252,5375,4791,6801,6303,16996,4118,14339
St Petersburg College,1,65649237,160597420,4866,1812,1542,5714,2028,3969,29282
Santa Fe College,1,31826025,84261237,2241,1571,2146,4103,1552,2952,15043
Seminole Community College,1,37489591,82754162,5294,1729,921,4767,2028,2004,16417
Saint Johns River Community College,1,11458047,35013618,4829,1769,1617,4555,2040,766,5826
South Florida Community College,1,4985280,25735154,4786,1773,682,3207,2560,356,2902
University of South Florida-Main Campus,1,212545759,938619324,6030,3248,2751,5806,4503,9395,40022
Saint Thomas University,2,56070994,57474276,6161,3621,9447,8381,21690,791,2476
Stetson University,2,107019571,120419707,5839,5973,16038,7428,29880,1112,3790
Southeastern University,2,37738532,52684129,4548,4224,5655,10597,14450,596,2950
Tallahassee Community College,1,27270571,99004300,5049,1666,1017,4155,1946,2872,14526
The University of Tampa,2,127990613,129901316,5300,4565,7344,6881,21420,1420,6291
Trinity Baptist College,2,1916403,3470578,2687,2931,2494,4148,7250,54,262
Trinity College of Florida,2,1907353,2846492,4621,2223,545,6593,10400,37,211
Valencia Community College,1,87532133,190920511,6487,2189,1271,5148,2028,6303,39008
Warner University,2,13599397,19274266,4123,3817,6378,6291,15120,347,1078
Webber International University,2,7047985,6423845,4509,3848,7953,6516,17850,125,669
Rasmussen College-Ocala,3,64091880,56325931,4164,1489,1175,7115,13140,306,3997
The University of West Florida,1,51301512,143710519,5349,2843,2922,4789,2743,2345,11143
Abraham Baldwin Agricultural College,1,8328753,41421477,4805,2880,2127,5175,2016,471,3327
Agnes Scott College,2,24574408,51783071,5472,3569,18947,6324,29890,190,868
Albany Technical College,1,8380869,20948278,4693,1993,73,8125,1800,118,3962
Darton College,1,14906153,36535885,4904,2583,2077,4417,1812,625,5854
Albany State University,1,20258579,59720398,5710,4514,2528,6777,3100,644,4473
Andrew College,2,2496690,7129480,2487,1859,5302,4418,11416,28,229
Armstrong Atlantic State University,1,27666790,78244343,4975,4021,742,5374,3120,1221,7538
The Art Institute of Atlanta,3,78785461,88324913,5757,1255,1559,8621,23535,442,3871
Atlanta Christian College,2,11708421,13852528,6425,2339,4603,7633,14450,78,690
Atlanta Metropolitan College,1,8151244,20516456,4863,1758,5883,4556,1838,230,2688
Clark Atlanta University,2,63285574,94577908,5386,2135,5316,8983,16328,730,3873
Augusta State University,1,25970064,65317590,4926,3964,2633,5100,2912,1072,7061
Bainbridge College,1,8571406,21200239,5107,2389,975,3101,2298,192,3558
Berry College,2,43965626,104893211,5102,3787,11969,5857,23160,378,1922
Brenau University,2,40081286,44301080,5387,3086,12977,6197,19106,776,2760
Brewton-Parker College,2,10475737,16699749,4569,2195,7381,6324,13920,160,1049
College of Coastal Georgia,1,7490899,23178218,4552,2329,2177,4754,2494,229,3080
Clayton  State University,1,27130942,65295201,5542,4309,2853,6460,2912,1126,6587
Columbus State University,1,43312297,86238049,5198,4423,2918,5535,3100,1260,8178
Covenant College,2,27107093,34254111,5666,3513,12064,5965,24520,390,1367
Dalton State College,1,13464010,40147527,4652,2373,1025,3679,2494,524,5722
DeVry University-Georgia,3,68666740,66749978,4339,999,1829,7514,14080,1138,5808
South University-Savannah,3,218785785,217978902,5987,1160,1998,10877,14685,1303,14110
East Georgia College,1,5998487,14095869,5006,2578,1426,5002,1848,142,2754
Emmanuel College,2,8344267,13745643,4866,1756,4871,6765,12880,128,732
Emory University,2,448689000,3215630815,6793,4145,24794,6063,37500,3925,12930
Georgia Highlands College,1,11526679,29048174,4463,2168,1729,2822,1848,477,5219
Fort Valley State University,1,15829768,73175489,5286,4285,5601,6631,3874,305,3553
Georgia Institute of Technology-Main Campus,1,212266440,1145862669,6282,8075,6432,6319,4829,5027,20291
Georgia Southwestern State University,1,12286826,36039983,5274,4459,1922,5438,3100,498,2903
Gainesville State College,1,20774699,47848199,4705,2435,644,3524,1992,822,8801
Georgia College & State University,1,38474895,98598190,4596,6287,2017,5045,4520,1423,6633
Georgia Military College-Milledgeville Campus,1,32780935,49590580,1344,509,2101,1692,3780,723,5721
Georgia Southern University,1,97594776,256999163,5426,4788,3181,4762,3178,3300,19086
Georgia State University,1,197538926,528286107,5359,6802,1436,5134,6070,6303,30427
University of Georgia,1,346870338,1161888839,5110,7391,6088,5326,4828,8915,34885
Gordon College,1,11091260,36677630,4493,2500,1641,5179,2494,483,4545
Gwinnett Technical College,1,13607928,35195922,4132,1813,1647,9285,1800,537,6649
Kennesaw State University,1,110401091,241803920,5075,4714,2919,5448,2898,4020,22389
LaGrange College,2,20363421,28225565,5586,3534,10822,6510,21094,294,1027
Lanier Technical College,1,7558162,20883712,4147,1838,164,183,1800,202,4115
Life University,2,38656690,44017859,4672,1194,4147,6829,7605,355,2301
Macon State College,1,16826543,43188689,5043,2533,1918,5811,2016,796,6615
Herzing University,3,17682961,17632844,6204,1046,726,11722,9840,168,972
Mercer University,2,167521853,218579969,5680,3641,19027,7363,29340,2028,8072
Middle Georgia College,1,10698782,40924926,4824,2967,1232,5071,1991,331,3614
Morehouse College,2,54609234,98881203,6790,2509,14333,7342,19424,462,2689
North Georgia College & State University,1,23632017,67686553,4407,4610,2741,4231,3106,1120,5652
Oglethorpe University,2,24784819,23271695,4977,2971,16313,7104,26400,191,1100
Paine College,2,10627880,15498327,5350,1628,4982,7077,10896,82,907
Piedmont College,2,27649508,35590903,5410,3231,9108,5199,18000,666,2811
Reinhardt College,2,16307747,20137662,2783,2065,5055,6131,16500,261,1123
Savannah College of Art and Design,2,262260056,254168913,5163,2763,8908,7699,27765,2159,9906
Savannah State University,1,18092646,72516393,5330,4413,3545,6490,3100,440,3820
Shorter College,2,19512678,23403233,5305,2989,8699,8963,15950,195,1205
South Georgia College,1,5072284,14622447,4913,2555,3456,4693,2298,237,2000
Spelman College,2,42393518,92777556,5537,3421,7792,8521,17818,471,2229
Southern Polytechnic State University,1,27128392,60465635,5006,4848,2869,5368,3263,760,5183
Thomas University,2,10151740,12944228,4804,1498,5115,5730,11354,189,723
Toccoa Falls College,2,17248766,20039744,5174,2937,6142,5835,15450,162,816
Truett-McConnell College,2,5375897,9971983,2708,2260,4634,6033,13500,51,519
Valdosta State University,1,55685356,157586727,5131,4562,2304,5899,2978,2229,12391
Waycross College,1,2404136,8071866,5432,2347,848,3717,2298,95,1077
Wesleyan College,2,8071803,17763329,6171,2493,11521,6671,17500,137,685
University of West Georgia,1,54587604,134870212,5154,4467,3425,3789,3996,1852,11500
Young Harris College,2,12688789,29859954,4796,3145,10733,7308,19130,144,695
Chaminade University of Honolulu,2,29604040,37796830,6039,1800,8428,6937,16900,665,2626
University of Hawaii at Hilo,1,19605812,85838832,4787,2096,2716,5361,4584,555,3974
University of Hawaii at Manoa,1,152396130,820179245,5119,2851,3731,5277,6768,4354,20435
Hawaii Pacific University,2,86185691,94473004,3819,1642,5193,7227,14860,1397,8113
Honolulu Community College,1,6495143,40168617,3481,3042,989,3841,1896,443,4567
Kapiolani Community College,1,18064000,59923618,4548,1502,1159,4227,1896,738,9102
Kauai Community College,1,1613579,16558853,4019,1233,1137,3816,1896,125,1345
Leeward Community College,1,11131783,42930602,3632,1103,959,3305,1896,530,7484
Maui Community College,1,5783358,36578544,4071,2503,954,5466,1896,281,4114
Windward Community College,1,2310518,19387418,3805,5027,1812,4935,1896,148,2316
Boise State University,1,99548370,279966657,4958,426,1913,6290,3106,2943,18933
Eastern Idaho Technical College,1,1695598,10073722,4020,344,1167,3616,1750,87,886
Idaho State University,1,79018885,202355207,4736,427,2493,6608,3318,1937,13493
University of Idaho,1,79133666,315210786,3919,262,5030,5517,10080,2300,11957
The College of Idaho,2,18789596,24134700,4951,455,11466,6346,19300,177,1013
Lewis-Clark State College,1,16950208,44777917,4038,750,2301,5069,3392,579,4200
ITT Technical Institute-Boise,3,10873297,10850833,5374,329,2894,9957,16848,159,585
North Idaho College,1,12479650,55167427,4364,387,1708,5542,2464,485,5659
Northwest Nazarene University,2,31393672,35090523,3876,436,10098,7030,21930,494,1950
Brigham Young University-Idaho,2,63344000,259115259,4525,388,1464,4280,3280,4801,14944
College of Southern Idaho,1,35102978,126838935,4200,386,1907,5221,3400,636,8133
American Academy of Art,3,7864002,8056339,4885,4277,9366,8795,23880,54,400
School of the Art Institute of Chicago,2,106512403,113755165,4482,4089,8534,9092,34200,678,3164
Augustana College,2,74068403,82852159,4889,4792,15105,6892,31326,585,2472
Aurora University,2,58453447,65607548,5303,4632,9363,6107,18000,1255,4355
Southwestern Illinois College,1,27053307,96380850,4542,2134,3287,2853,5404,1338,14440
Black Hawk College,1,15107135,56212610,4352,1492,1818,2695,5730,508,6267
Blackburn College,2,8577702,11557000,4308,4298,3900,5532,14176,122,607
Bradley University,2,128148526,163443586,5342,4848,9791,6304,23950,1465,5800
Carl Sandburg College,1,7346506,27994743,3965,1789,2295,1444,3864,232,2661
Chicago State University,1,44986703,130639577,4367,3341,5741,6172,5976,984,7235
University of Chicago,2,573723955,3131317077,6192,4458,28556,6440,38550,4486,15094
Columbia College Chicago,2,211150498,247223766,4763,4153,5536,7081,18490,2193,12127
Concordia University,2,54997980,54480240,4397,4573,11172,8264,22998,1635,5049
Le Cordon Bleu College of Culinary Arts in Chicago,3,21211138,23651275,3364,2734,1083,7797,19975,337,1047
Danville Area Community College,1,7425530,25809698,4561,1146,4405,3078,4500,249,3584
DePaul University,2,538653000,561009000,4966,4871,13307,5831,26765,6280,25072
DeVry University-Illinois,3,601430687,596340943,4154,3775,2763,7588,14400,5070,30127
College of DuPage,1,76087480,199358346,4144,1598,2467,4920,9760,1677,27083
East-West University,2,5890192,20044927,2933,3312,1000,2435,15000,117,1060
Eastern Illinois University,1,86218513,241328024,4311,4312,3149,8879,7170,2944,11966
Elgin Community College,1,16029155,102865192,3964,1337,2983,2199,8592,920,11704
Elmhurst College,2,82739453,64427538,4998,5057,13461,5962,27270,846,3363
