instname,control,tuition,revenue,fed_grant_avg_amount,state_grant_avg_amount,inst_grant_avg,loan_avg_amount,tuition02_tf,totaldegrees,total_enrollment
San Francisco Conservatory of Music,2,15094502,16147444,5465,7669,15407,6134,33000,136,415
San Francisco State University,1,172183981,459621923,5414,2428,4236,5389,11160,7120,30469
University of San Francisco,2,263220000,282018000,6127,8978,21930,6496,34430,2620,9008
San Joaquin Delta College,1,12774432,122826439,4665,1037,1153,7778,624,3418,20456
San Joaquin Valley College-Bakersfield,3,23647040,23960435,3395,4512,1949,7917,12090,1701,3749
William Jessup University,2,13742892,16696187,4991,8543,9018,5650,18717,131,578
San Jose City College,1,12043369,126164207,4570,812,500,5000,728,750,23550
San Jose State University,1,180003097,400777180,5033,2212,4872,5075,11160,7804,31280
College of San Mateo,1,11280772,64892687,4838,740,1195,3500,624,458,11310
Westwood College-Los Angeles,3,125432041,137082853,5033,4837,2408,9985,13302,774,3968
Santa Barbara City College,1,19827066,117963398,4002,889,577,4985,728,1202,19753
Santa Clara University,2,263686000,347806000,5967,9503,17419,7578,36000,2561,8985
Santa Rosa Junior College,1,18442537,131967888,4205,847,433,5603,707,1422,25877
Scripps College,2,35747747,78814176,6952,8892,28179,4904,38486,231,921
Shasta College,1,5081664,55725176,4124,836,348,4887,624,359,10578
Simpson University,2,17845649,19030382,4928,8797,8296,7455,20400,332,1143
Skyline College,1,7952332,45742171,4942,1007,938,4474,790,520,10561
San Bernardino Valley College,1,12162783,140048417,4218,838,1369,3306,0,995,21296
San Bernardino Valley College,1,12162783,140048417,4218,838,1369,3306,0,995,21296
San Bernardino Valley College,1,12162783,140048417,4218,838,1369,3306,0,995,21296
San Bernardino Valley College,1,12162783,140048417,4218,838,1369,3306,0,995,21296
Saint Marys College of California,2,99831791,98674713,5583,7670,21422,7204,33760,929,3636
Solano Community College,1,6128523,73319434,4112,757,981,3231,780,1022,12222
Sonoma State University,1,48756578,157677033,5434,2608,4331,5261,11160,1874,8546
Vanguard University of Southern California,2,41943678,39759193,4650,5840,28341,10137,25452,499,1923
Southwestern College,1,8692917,119449870,4278,869,373,2875,502,1129,21597
Southern California Institute of Architecture,2,14753655,19480176,3730,9708,4688,5500,25000,160,474
University of Southern California,2,1152480000,3139912000,5396,9657,22181,6689,38570,10450,34824
Thomas Aquinas College,2,7651899,14640045,4580,7966,11694,3633,22400,75,345
Trinity Life Bible College,2,1776066,1938687,1352,2817,1546,2333,8500,53,158
Victor Valley College,1,3218873,80931208,4459,843,200,5964,624,993,13470
West Hills College-Coalinga,1,1073982,35585880,4075,970,642,3420,624,200,2965
West Valley College,1,14279729,138599788,4483,853,1026,5775,624,1111,23847
Westmont College,2,43648386,56744944,5914,8435,15465,7990,32150,312,1308
Whittier College,2,70926043,78248836,6090,8653,17052,8636,33868,472,2093
Woodbury University,2,37572919,34858556,4917,6654,10890,5305,27635,402,1615
Yuba College,1,3329603,49912876,4190,1032,851,5063,780,510,8564
Adams State College,1,22356408,45720431,4456,1680,3292,5744,2712,526,3121
Aims Community College,1,14639631,63046844,4762,933,1426,6032,2136,358,5510
Arapahoe Community College,1,28237222,40321602,4371,1074,1174,3837,2119,488,9969
Everest College-Colorado Springs,3,11305446,11305446,4516,1522,6450,8373,12600,61,790
University of Colorado Denver,1,202523263,1247753221,4895,1377,2599,5546,5712,4143,23715
University of Colorado at Colorado Springs,1,77787233,127280177,4921,1508,2194,5413,4680,1741,9733
University of Colorado at Boulder,1,480701344,1078212008,5692,1178,3409,6749,6446,7167,33010
Colorado Christian University,2,33666096,35715193,4456,1599,8743,6814,18990,696,2511
Colorado College,2,81506708,154666700,6881,2008,24614,5176,37278,530,2032
The Art Institute of Colorado,3,46782085,50932394,6747,1962,2067,12466,24596,401,2320
Colorado Mountain College,1,9298615,96518701,4228,1508,2066,5960,2250,383,5741
Colorado Northwestern Community College,1,5331744,13096375,3285,862,3272,5004,2119,106,1375
Colorado School of Mines,1,85058545,171864498,4774,3724,6648,7185,10590,1007,5124
Colorado State University,1,287477806,788431032,5003,2536,3777,5927,4822,5959,28902
Colorado Technical University,3,28718625,31463771,9292,6423,1679,8264,10440,521,2690
Community College of Aurora,1,22517936,31373158,4320,1056,888,6292,2649,408,6293
College America-Denver,3,12425647,13243422,3501,200,4061,10383,19220,79,681
Community College of Denver,1,35104062,52463244,4574,921,675,6563,2119,422,10918
Westwood College-Denver North,3,17473932,18863401,4443,1125,1933,11705,13652,216,829
University of Denver,2,348800139,400695746,7085,1509,18793,5783,34596,3603,11644
Fort Lewis College,1,36799517,72090839,4994,6536,2382,4685,3102,643,3770
Front Range Community College,1,68811598,99064004,4311,921,870,5690,2119,1120,18713
Lamar Community College,1,3686954,9972607,4756,1001,2866,5313,2649,67,1080
Mesa State College,1,43543704,87167282,4105,1482,2580,7744,4692,835,7042
Metropolitan State College of Denver,1,104384362,161820307,4251,1391,2299,5286,2850,2751,22837
Morgan Community College,1,5149194,10693197,4639,863,601,5849,2041,163,1918
Northeastern Junior College,1,7352589,16834295,4658,811,2360,4914,2119,222,2497
University of Northern Colorado,1,93272129,175338331,4280,2317,3324,5982,4296,2576,12711
Otero Junior College,1,5782913,22234318,4659,1485,3349,5679,2649,178,1660
Pikes Peak Community College,1,49098480,73182436,4067,1122,764,5297,2392,953,13572
Pueblo Community College,1,17005974,49165895,4674,876,548,5405,2520,560,6592
Red Rocks Community College,1,32771073,48717150,4314,876,1207,4954,2119,465,9143
Regis University,2,149492830,154430563,6725,4787,15041,7639,29400,2991,10874
Colorado State University-Pueblo,1,33040931,68484683,4871,1170,2744,4976,3732,857,6443
Trinidad State Junior College,1,7380123,19379880,4726,996,2584,4860,2119,163,1812
Western State College of Colorado,1,13618940,36489389,4038,1597,3409,5373,5180,343,2237
Albertus Magnus College,2,23610544,28717241,5103,6192,8029,8164,22656,719,2023
Asnuntuck Community College,1,5277437,14902910,4407,1902,2598,3721,2832,156,1808
Briarwood College,3,8550199,8660927,4656,2782,2169,8796,17740,102,779
University of Bridgeport,2,85377000,83512000,6277,3910,13562,9801,23400,1468,5103
Central Connecticut State University,1,79607828,181631957,4745,1846,2721,6195,3742,2365,12461
University of Connecticut,1,378497892,1735552169,5079,3030,7184,6094,7632,6843,29517
Eastern Connecticut State University,1,36122430,105259772,4517,2442,3877,6587,3742,1158,5610
Fairfield University,2,141701000,184827000,5641,3620,22976,8245,36900,1236,5074
Capital Community College,1,12363984,33687731,4774,1735,1183,2667,2832,382,4280
University of Hartford,2,156424000,176678295,14643,11316,10398,10283,27750,1648,7212
Housatonic Community College,1,15197255,34456916,4307,1848,1447,3129,2832,371,5609
Lyme Academy College of Fine Arts,2,1921198,3860062,4017,5162,7250,7800,21792,21,97
Manchester Community College,1,20908044,52438646,4270,1711,1992,2913,2832,679,7366
Naugatuck Valley Community College,1,19441295,51542444,5670,1319,1393,3335,2832,558,6725
Middlesex Community College,1,8017307,20330744,6315,1788,1721,3142,2832,256,2914
Mitchell College,2,21715865,23870531,5344,4146,10975,7997,24035,130,961
Three Rivers Community College,1,11782069,31365093,6069,2686,2947,4320,2832,344,4561
University of New Haven,2,133402753,130559509,4638,1959,15491,10149,28250,1391,5770
